percentage,educational_resources,parents_education,personality,passion,ott_time,sm_time,travel_time,eduvids_time,game_time,extra_time,ai_usage
85,good,graduate,extroverted,yes,2,1,0.5,3,1,2,regular
78,satisfactory,undergraduate,ambiverted,no,1.5,1.5,1,2.5,1.5,1,occasional
92,poor,PhD,introverted,yes,3,0.5,0.3,2,0.5,3,never
87,good,graduate,extroverted,no,2,1,0.8,2.5,1,2,occasional
80,satisfactory,undergraduate,ambiverted,yes,2.5,1,0.5,2,1,1,regular
95,good,PhD,introverted,yes,3.5,0.5,0.2,2,0.2,4,regular
88,satisfactory,graduate,extroverted,no,2,1,1,2.5,1,1.5,occasional
75,poor,undergraduate,ambiverted,no,1.5,1.8,0.7,3,1,0.5,occasional
89,good,graduate,extroverted,yes,3,0.7,0.5,2.5,0.8,2,regular
82,satisfactory,undergraduate,introverted,yes,2,1.2,0.6,2,1,1,occasional
98,good,graduate,introverted,no,0.5,1,0.5,3,0.5,1,occasional
61,good,10,extroverted,no,3,1,2,0.1,0.1,0.1,regular
66,good,below10,introverted,no,0.1,2,2,0.5,1,1,never
83,good,12,introverted,yes,1,2,0.2,2.5,0.1,1.5,regular
87,good,graduate,ambiverted,yes,2,1,1,3,0.1,0.5,regular
88,good,12,introverted,no,3,0.1,1,2,0.1,1,occasional
54,good,phD,extroverted,no,2,2,0.3,0.3,1.5,0.1,never
70,good,10,ambiverted,no,0.1,2,2,0.5,1,1,never
65,good,undergraduate,extroverted,yes,1,1.5,0.5,0.5,0.1,3.5,occasional
85,good,below10,ambiverted,yes,0.1,1.75,1.8,1.5,1,1.4,occasional
54,good,12,extroverted,yes,2,2,0.3,0.3,1.5,0.1,never
77,good,phD,ambiverted,no,2.4,1,0.6,2,0.1,1,regular
93,good,graduate,introverted,no,0.1,1,1,3,2,0.5,occasional
73,good,phD,extroverted,yes,0.5,3.5,1.5,2,0.1,0.1,never
85,good,12,introverted,no,1,1.4,0.5,1,0.3,0.1,regular
86,good,graduate,introverted,no,2,0.1,0.2,1.2,2.5,0.5,never
74,satisfactory,10,extroverted,no,2,2,0.3,1,0.1,0.1,occasional
99,satisfactory,below10,extroverted,yes,2.3,0.3,1.3,3,0.1,0.3,regular
38,satisfactory,12,ambiverted,no,2.4,0.5,2,2,1.5,0.1,regular
88,satisfactory,below10,introverted,yes,1,2.8,1,2.5,0.6,0.5,occasional
78,satisfactory,12,extroverted,no,2.3,0.1,2,1.5,1.6,1.3,regular
59,satisfactory,graduate,introverted,yes,3.4,0.6,0.2,0.5,0.75,0.5,regular
79.2,satisfactory,graduate,introverted,no,2,0.8,0.3,1,1.5,1.3,never
49,satisfactory,10,introverted,yes,1.5,1.5,0.9,0.8,1.7,0.5,regular
73,satisfactory,12,extroverted,yes,3.2,2,1,1.3,0.1,1,occasional
89,satisfactory,below10,introverted,no,1.3,3.6,1.5,1.5,1.1,1.3,regular
81,satisfactory,graduate,ambiverted,yes,3,1.2,1,2.2,0.1,0.1,occasional
100,satisfactory,graduate,introverted,yes,0.4,1.8,1,4,0.3,0.4,occasional
40,satisfactory,below10,ambiverted,no,2.6,1.3,1.5,1.3,0.1,1,occesionel
84,satisfactory,graduate,introverted,yes,1,0.1,1,4,0.1,1.3,never
94.06,satisfactory,12,ambiverted,yes,1.2,1.5,1.5,1.2,0.1,1,regular
67,satisfactory,PhD,extroverted,no,1,1.5,1.6,0.6,0.3,1,regular
42,poor,below10,extroverted,no,0.1,2,1.5,0.6,2,0.4,occasional
69,poor,10,extroverted,yes,1,3,1.9,2.4,1,0.1,never
77,poor,12,introverted,yes,0.1,2,1.8,3,0.1,0.1,regular
36,poor,below10,introverted,yes,1,2,1.2,1.4,2.5,0.4,regular
63,poor,10,ambiverted,no,0.1,1.2,0.6,0.6,0.1,0.1,never
61,poor,below10,introverted,no,0.1,1,1.5,0.3,0.1,0.1,never
83,poor,12,extroverted,yes,1,1,0.4,3,0.1,0.1,regular
74,poor,below10,ambiverted,yes,1,3,1.2,1.4,0.3,0.4,never
40,poor,12,extroverted,no,0.1,2.5,1.5,0.6,0.5,0.1,regular
72,poor,graduate,extroverted,yes,0.1,1.4,1.2,2.5,0.1,0.1,occasional
51,poor,10,extroverted,no,0.5,1.5,1,1.7,0.1,0.4,never
41,poor,below10,extroverted,yes,0.1,2.2,1.2,3,1,0.1,occasional
76,poor,below10,introverted,yes,0.2,2.1,1.5,1.8,0.1,0.1,never
85.6,poor,graduate,introverted,no,0.1,0.4,1.2,2.6,0.3,0.4,regular
94,good,PhD,introverted,no,2.7,0.6,0.9,2,1.2,1.8,regular
75,satisfactory,undergraduate,extroverted,yes,2.2,1.5,0.5,2.5,0.8,1.2,occasional
80,poor,PhD,extroverted,yes,2,1,0.6,2.2,1,0.5,regular
87,satisfactory,graduate,ambiverted,no,2.5,1.2,1,2,1.5,0.3,occasional
